ds;y
2015-11-28;136
2015-11-29;0
2015-11-30;2844
2015-12-01;1274
2015-12-02;1478
2015-12-03;1489
2015-12-04;1473
2015-12-05;3
2015-12-06;1
2015-12-07;1387
2015-12-08;1505
2015-12-09;1653
2015-12-10;1817
2015-12-11;1740
2015-12-12;6
2015-12-13;0
2015-12-14;1678
2015-12-15;1690
2015-12-16;1869
2015-12-17;2237
2015-12-18;2072
2015-12-19;7
2015-12-20;0
2015-12-21;2215
2015-12-22;2223
2015-12-23;1919
2015-12-24;52
2015-12-25;0
2015-12-26;0
2015-12-27;0
2015-12-28;1933
2015-12-29;2581
2015-12-30;2764
2015-12-31;765
2016-01-01;0
2016-01-02;1
2016-01-03;0
2016-01-04;1374
2016-01-05;1373
2016-01-06;0
2016-01-07;1590
2016-01-08;1480
2016-01-09;4
2016-01-10;0
2016-01-11;1618
2016-01-12;1542
2016-01-13;1563
2016-01-14;1843
2016-01-15;1632
2016-01-16;5
2016-01-17;0
2016-01-18;1558
2016-01-19;1509
2016-01-20;1517
2016-01-21;1812
2016-01-22;1561
2016-01-23;6
2016-01-24;0
2016-01-25;1606
2016-01-26;1583
2016-01-27;1957
2016-01-28;2380
2016-01-29;2447
2016-01-30;8
2016-01-31;0
2016-02-01;1336
2016-02-02;1364
2016-02-03;1599
2016-02-04;1725
2016-02-05;1566
2016-02-06;6
2016-02-07;0
2016-02-08;1325
2016-02-09;1358
2016-02-10;1553
2016-02-11;1585
2016-02-12;1562
2016-02-13;1
2016-02-14;1
2016-02-15;1378
2016-02-16;1349
2016-02-17;1513
2016-02-18;1730
2016-02-19;1580
2016-02-20;3
2016-02-21;0
2016-02-22;1462
2016-02-23;1554
2016-02-24;1689
2016-02-25;1970
2016-02-26;2071
2016-02-27;5
2016-02-28;0
2016-02-29;2562
2016-03-01;1268
2016-03-02;1543
2016-03-03;1756
2016-03-04;1491
2016-03-05;3
2016-03-06;0
2016-03-07;1391
2016-03-08;1447
2016-03-09;1617
2016-03-10;1646
2016-03-11;1626
2016-03-12;1
2016-03-13;0
2016-03-14;1442
2016-03-15;1595
2016-03-16;1848
2016-03-17;1915
2016-03-18;1660
2016-03-19;7
2016-03-20;0
2016-03-21;1833
2016-03-22;1989
2016-03-23;2209
2016-03-24;2250
2016-03-25;1545
2016-03-26;0
2016-03-27;0
2016-03-28;1
2016-03-29;1495
2016-03-30;2623
2016-03-31;3252
2016-04-01;1222
2016-04-02;1
2016-04-03;0
2016-04-04;1338
2016-04-05;1323
2016-04-06;1410
2016-04-07;1798
2016-04-08;1487
2016-04-09;4
2016-04-10;0
2016-04-11;1498
2016-04-12;1415
2016-04-13;1321
2016-04-14;1553
2016-04-15;1393
2016-04-16;6
2016-04-17;0
2016-04-18;1531
2016-04-19;1605
2016-04-20;1579
2016-04-21;1855
2016-04-22;1759
2016-04-23;84
2016-04-24;0
2016-04-25;1532
2016-04-26;1708
2016-04-27;2074
2016-04-28;2659
2016-04-29;2607
2016-04-30;10
2016-05-01;0
2016-05-02;455
2016-05-03;0
2016-05-04;1058
2016-05-05;1544
2016-05-06;1464
2016-05-07;0
2016-05-08;0
2016-05-09;1441
2016-05-10;1574
2016-05-11;1591
2016-05-12;1819
2016-05-13;1431
2016-05-14;7
2016-05-15;0
2016-05-16;1493
2016-05-17;1651
2016-05-18;1758
2016-05-19;1951
2016-05-20;1704
2016-05-21;6
2016-05-22;0
2016-05-23;1556
2016-05-24;2142
2016-05-25;2098
2016-05-26;0
2016-05-27;1102
2016-05-28;2
2016-05-29;0
2016-05-30;2374
2016-05-31;2949
2016-06-01;1313
2016-06-02;1598
2016-06-03;1412
2016-06-04;10
2016-06-05;0
2016-06-06;1311
2016-06-07;1631
2016-06-08;1564
2016-06-09;1882
2016-06-10;1530
2016-06-11;7
2016-06-12;0
2016-06-13;1320
2016-06-14;1702
2016-06-15;1784
2016-06-16;1743
2016-06-17;1492
2016-06-18;5
2016-06-19;0
2016-06-20;1666
2016-06-21;1553
2016-06-22;1933
2016-06-23;2046
2016-06-24;1780
2016-06-25;3
2016-06-26;0
2016-06-27;1891
2016-06-28;2083
2016-06-29;2560
2016-06-30;2945
2016-07-01;1303
2016-07-02;1
2016-07-03;0
2016-07-04;1213
2016-07-05;1495
2016-07-06;1542
2016-07-07;1644
2016-07-08;1419
2016-07-09;3
2016-07-10;0
2016-07-11;1246
2016-07-12;1384
2016-07-13;1408
2016-07-14;1636
2016-07-15;1347
2016-07-16;3
2016-07-17;0
2016-07-18;1193
2016-07-19;1443
2016-07-20;1517
2016-07-21;1607
2016-07-22;1473
2016-07-23;8
2016-07-24;0
2016-07-25;1296
2016-07-26;1360
2016-07-27;1672
2016-07-28;2080
2016-07-29;2195
2016-07-30;6
2016-07-31;0
2016-08-01;961
2016-08-02;1027
2016-08-03;1176
2016-08-04;1393
2016-08-05;1158
2016-08-06;1
2016-08-07;0
2016-08-08;1043
2016-08-09;1187
2016-08-10;1134
2016-08-11;1319
2016-08-12;1024
2016-08-13;1
2016-08-14;0
2016-08-15;0
2016-08-16;861
2016-08-17;1016
2016-08-18;1360
2016-08-19;1225
2016-08-20;1
2016-08-21;0
2016-08-22;1213
2016-08-23;1234
2016-08-24;1349
2016-08-25;1631
2016-08-26;1342
2016-08-27;4
2016-08-28;0
2016-08-29;1501
2016-08-30;1987
2016-08-31;2377
2016-09-01;1266
2016-09-02;1111
2016-09-03;1
2016-09-04;0
2016-09-05;1102
2016-09-06;1158
2016-09-07;1282
2016-09-08;1250
2016-09-09;1184
2016-09-10;2
2016-09-11;0
2016-09-12;1095
2016-09-13;1266
2016-09-14;1231
2016-09-15;1507
2016-09-16;1421
2016-09-17;3
2016-09-18;0
2016-09-19;1177
2016-09-20;1264
2016-09-21;1391
2016-09-22;1617
2016-09-23;1393
2016-09-24;3
2016-09-25;0
2016-09-26;1599
2016-09-27;1759
2016-09-28;2120
2016-09-29;2854
2016-09-30;2826
2016-10-01;2
2016-10-02;0
2016-10-03;1024
2016-10-04;1232
2016-10-05;1412
2016-10-06;1413
2016-10-07;1384
2016-10-08;5
2016-10-09;0
2016-10-10;1248
2016-10-11;1285
2016-10-12;1437
2016-10-13;1476
2016-10-14;1385
2016-10-15;3
2016-10-16;0
2016-10-17;1205
2016-10-18;1453
2016-10-19;1486
2016-10-20;1700
2016-10-21;1568
2016-10-22;4
2016-10-23;0
2016-10-24;1391
2016-10-25;1663
2016-10-26;1907
2016-10-27;2370
2016-10-28;2528
2016-10-29;6
2016-10-30;0
2016-10-31;1852
2016-11-01;0
2016-11-02;1129
2016-11-03;1314
2016-11-04;1468
2016-11-05;2
2016-11-06;0
2016-11-07;1389
2016-11-08;1638
2016-11-09;1734
2016-11-10;1635
2016-11-11;0
2016-11-12;3
2016-11-13;0
2016-11-14;1518
2016-11-15;1731
2016-11-16;1767
2016-11-17;1923
2016-11-18;1849
2016-11-19;5
2016-11-20;0
2016-11-21;1573
2016-11-22;1805
2016-11-23;2034
2016-11-24;2469
2016-11-25;2141
2016-11-26;10
2016-11-27;0
2016-11-28;2230
2016-11-29;2825
2016-11-30;3210
2016-12-01;1683
2016-12-02;1630
2016-12-03;3
2016-12-04;0
2016-12-05;1733
2016-12-06;1950
2016-12-07;1942
2016-12-08;1941
2016-12-09;1845
2016-12-10;3
2016-12-11;0
2016-12-12;1734
2016-12-13;1783
2016-12-14;2005
2016-12-15;2320
2016-12-16;2143
2016-12-17;11
2016-12-18;0
2016-12-19;2223
2016-12-20;2385
2016-12-21;2564
2016-12-22;2801
2016-12-23;1688
2016-12-24;0
2016-12-25;0
2016-12-26;0
2016-12-27;1684
2016-12-28;2361
2016-12-29;2922
2016-12-30;2635
2016-12-31;3
2017-01-01;1
2017-01-02;1467
2017-01-03;1638
2017-01-04;1795
2017-01-05;1694
2017-01-06;0
2017-01-07;3
2017-01-08;0
2017-01-09;1621
2017-01-10;1632
2017-01-11;1794
2017-01-12;1880
2017-01-13;1584
2017-01-14;3
2017-01-15;0
2017-01-16;1656
2017-01-17;1658
2017-01-18;1905
2017-01-19;1840
2017-01-20;1644
2017-01-21;13
2017-01-22;0
2017-01-23;1606
2017-01-24;1643
2017-01-25;1921
2017-01-26;2149
2017-01-27;2027
2017-01-28;4
2017-01-29;0
2017-01-30;2220
2017-01-31;2859
2017-02-01;1591
2017-02-02;1743
2017-02-03;1587
2017-02-04;3
2017-02-05;0
2017-02-06;1641
2017-02-07;1687
2017-02-08;1802
2017-02-09;1850
2017-02-10;1715
2017-02-11;5
2017-02-12;0
2017-02-13;1554
2017-02-14;1864
2017-02-15;1828
2017-02-16;2000
2017-02-17;1788
2017-02-18;11
2017-02-19;0
2017-02-20;1696
2017-02-21;1879
2017-02-22;1953
2017-02-23;2360
2017-02-24;2022
2017-02-25;8
2017-02-26;0
2017-02-27;2698
2017-02-28;3346
2017-03-01;1753
2017-03-02;1826
2017-03-03;1589
2017-03-04;3
2017-03-05;0
2017-03-06;1688
2017-03-07;1883
2017-03-08;1866
2017-03-09;1978
2017-03-10;1716
2017-03-11;2
2017-03-12;1
2017-03-13;1603
2017-03-14;2113
2017-03-15;2105
2017-03-16;1782
2017-03-17;1935
2017-03-18;4
2017-03-19;0
2017-03-20;1973
2017-03-21;1920
2017-03-22;2230
2017-03-23;2351
2017-03-24;2139
2017-03-25;67
2017-03-26;0
2017-03-27;1738
2017-03-28;2378
2017-03-29;3055
2017-03-30;4021
2017-03-31;3972
2017-04-01;4
2017-04-02;0
2017-04-03;1487
2017-04-04;1623
2017-04-05;1873
2017-04-06;1839
2017-04-07;1862
2017-04-08;5
2017-04-09;0
2017-04-10;1827
2017-04-11;2044
2017-04-12;2143
2017-04-13;2283
2017-04-14;1402
2017-04-15;0
2017-04-16;0
2017-04-17;0
2017-04-18;1312
2017-04-19;1759
2017-04-20;2112
2017-04-21;1887
2017-04-22;79
2017-04-23;0
2017-04-24;1974
2017-04-25;2203
2017-04-26;2800
2017-04-27;3704
2017-04-28;3415
2017-04-29;51
2017-04-30;0
2017-05-01;0
2017-05-02;418
2017-05-03;0
2017-05-04;1219
2017-05-05;1245
2017-05-06;1
2017-05-07;1
2017-05-08;1691
2017-05-09;1712
2017-05-10;1892
2017-05-11;2203
2017-05-12;1682
2017-05-13;11
2017-05-14;0
2017-05-15;1730
2017-05-16;1686
2017-05-17;1822
2017-05-18;1997
2017-05-19;1691
2017-05-20;8
2017-05-21;0
2017-05-22;1655
2017-05-23;1938
2017-05-24;2114
2017-05-25;2476
2017-05-26;2124
2017-05-27;6
2017-05-28;0
2017-05-29;2396
2017-05-30;2927
2017-05-31;3306
2017-06-01;1651
2017-06-02;1520
2017-06-03;1
2017-06-04;0
2017-06-05;1585
2017-06-06;1562
2017-06-07;1807
2017-06-08;1732
2017-06-09;1764
2017-06-10;5
2017-06-11;0
2017-06-12;1760
2017-06-13;1716
2017-06-14;1814
2017-06-15;0
2017-06-16;823
2017-06-17;1
2017-06-18;0
2017-06-19;1519
2017-06-20;1806
2017-06-21;2031
2017-06-22;2285
2017-06-23;1893
2017-06-24;8
2017-06-25;0
2017-06-26;2265
2017-06-27;2595
2017-06-28;3187
2017-06-29;3733
2017-06-30;3067
2017-07-01;1
2017-07-02;0
2017-07-03;1647
2017-07-04;1749
2017-07-05;1808
2017-07-06;1730
2017-07-07;1641
2017-07-08;7
2017-07-09;0
2017-07-10;1484
2017-07-11;1682
2017-07-12;1621
2017-07-13;1722
2017-07-14;1683
2017-07-15;0
2017-07-16;0
2017-07-17;1328
2017-07-18;1585
2017-07-19;1795
2017-07-20;1789
2017-07-21;1521
2017-07-22;2
2017-07-23;0
2017-07-24;1383
2017-07-25;1661
2017-07-26;1979
2017-07-27;2050
2017-07-28;2392
2017-07-29;20
2017-07-30;0
2017-07-31;2752
2017-08-01;1251
2017-08-02;1460
2017-08-03;1492
2017-08-04;1278
2017-08-05;2
2017-08-06;0
2017-08-07;1280
2017-08-08;1287
