ds;y
2015-12-01;1187
2015-12-02;1397
2015-12-03;1397
2015-12-04;1343
2015-12-05;3
2015-12-06;1
2015-12-07;1279
2015-12-08;1341
2015-12-09;1480
2015-12-10;1660
2015-12-11;1596
2015-12-12;6
2015-12-13;0
2015-12-14;1483
2015-12-15;1560
2015-12-16;1727
2015-12-17;2096
2015-12-18;1906
2015-12-19;7
2015-12-20;0
2015-12-21;2016
2015-12-22;2055
2015-12-23;1729
2015-12-24;48
2015-12-25;0
2015-12-26;0
2015-12-27;0
2015-12-28;1622
2015-12-29;2127
2015-12-30;2200
2015-12-31;628
2016-01-01;0
2016-01-02;1
2016-01-03;0
2016-01-04;1273
2016-01-05;1312
2016-01-06;0
2016-01-07;1484
2016-01-08;1385
2016-01-09;4
2016-01-10;0
2016-01-11;1363
2016-01-12;1401
2016-01-13;1392
2016-01-14;1692
2016-01-15;1526
2016-01-16;5
2016-01-17;0
2016-01-18;1429
2016-01-19;1323
2016-01-20;1395
2016-01-21;1622
2016-01-22;1401
2016-01-23;6
2016-01-24;0
2016-01-25;1431
2016-01-26;1408
2016-01-27;1733
2016-01-28;2122
2016-01-29;2142
2016-01-30;8
2016-01-31;0
2016-02-01;1226
2016-02-02;1238
2016-02-03;1461
2016-02-04;1634
2016-02-05;1400
2016-02-06;2
2016-02-07;0
2016-02-08;1161
2016-02-09;1248
2016-02-10;1431
2016-02-11;1428
2016-02-12;1458
2016-02-13;1
2016-02-14;1
2016-02-15;1211
2016-02-16;1215
2016-02-17;1405
2016-02-18;1539
2016-02-19;1441
2016-02-20;2
2016-02-21;0
2016-02-22;1318
2016-02-23;1418
2016-02-24;1543
2016-02-25;1809
2016-02-26;1839
2016-02-27;5
2016-02-28;0
2016-02-29;2062
2016-03-01;1134
2016-03-02;1373
2016-03-03;1557
2016-03-04;1343
2016-03-05;3
2016-03-06;0
2016-03-07;1234
2016-03-08;1287
2016-03-09;1380
2016-03-10;1517
2016-03-11;1454
2016-03-12;1
2016-03-13;0
2016-03-14;1281
2016-03-15;1460
2016-03-16;1660
2016-03-17;1770
2016-03-18;1493
2016-03-19;7
2016-03-20;0
2016-03-21;1617
2016-03-22;1799
2016-03-23;1902
2016-03-24;1937
2016-03-25;1234
2016-03-26;0
2016-03-27;0
2016-03-28;1
2016-03-29;1262
2016-03-30;2079
2016-03-31;2575
2016-04-01;1172
2016-04-02;1
2016-04-03;0
2016-04-04;1262
2016-04-05;1195
2016-04-06;1248
2016-04-07;1638
2016-04-08;1318
2016-04-09;3
2016-04-10;0
2016-04-11;1311
2016-04-12;1293
2016-04-13;1245
2016-04-14;1451
2016-04-15;1280
2016-04-16;6
2016-04-17;0
